,head,relation,tail,cos_sim_score
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi957,0.7002821646715122
1,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1231,-0.099388489210156
2,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1027,-0.054374306005242
3,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1333,0.8562252222127548
4,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi388,-0.26798131680916615
5,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1084,0.6091855859118424
6,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi43,0.8375126935381216
7,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi17,-0.23555294737216312
8,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi124,-0.249786690270302
9,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1299,0.5449996995535701
10,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1176,0.708057171895161
11,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi557,-0.11921928817562241
12,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1231,-0.06056688902770633
13,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi43,0.8678297966266668
14,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1333,0.8821926211349496
15,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi17,-0.392953229302598
16,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi632,0.35536706401610396
17,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1309,-0.3096102455921459
18,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1067,0.3821403885844011
19,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi877,0.6340493423191862
20,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi55,0.7479548090219047
21,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi461,0.4995969228213137
22,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1074,0.4346682662558719
23,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1309,-0.16005281616262185
24,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi47,0.8000987354852847
25,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1231,-0.1122419590827814
26,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1027,0.42632915707778585
27,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1333,0.6396925567049773
28,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1238,0.7662904873132554
29,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi17,-0.021878146234718135
30,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1001,0.7650983336626541
