,head,relation,tail,cos_sim_score
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_1,0.5675095133287598
1,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_11,0.5760280243216044
2,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_1,0.4988691792073633
3,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_7,0.515895431921292
4,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_4,0.7146822629998603
5,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_12,0.7225976862949792
6,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_14,0.7631720847822459
7,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_10,0.6865050818410959
8,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_12,0.6136365786273342
9,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_5,0.6481930521636015
10,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_7,0.55099108616096
11,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_11,0.7523485523163148
12,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_5,0.6976745228134299
13,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_8,0.7389250269784873
14,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_10,0.7341446479127102
15,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_12,0.7103972737776837
16,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_12,0.7063573190388753
17,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_7,0.5473401161167217
18,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_11,0.5706400988252291
19,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_12,0.6942303510340163
20,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_11,0.6095780352101562
21,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_10,0.7725427731815967
22,Course2_W6-S1-L2_Grammar_Transforms_12-05,l_text_topics,topic_1,0.6839573928250196
23,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,l_text_topics,topic_1,0.5756300604232423
24,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,l_text_topics,topic_8,0.7556631368163227
25,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_7,0.4403933595712206
26,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_9,0.5046326484349466
27,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,l_text_topics,topic_6,0.6277195227228621
28,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_2,0.45709739582496106
29,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_14,0.6897924841566263
30,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_2,0.5631229205682851
31,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_9,0.7586310523330919
32,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,l_text_topics,topic_6,0.7088370285633586
33,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_7,0.6251872389594135
34,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_8,0.6698631987769629
35,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_12,0.7408032830745733
36,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,l_text_topics,topic_11,0.5889797484775042
37,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,l_text_topics,topic_7,0.7205347656874851
38,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,l_text_topics,topic_11,0.6609080508258238
